instance,hour,price
$5.52 per On Demand Linux d2.8xlarge,0.033,0.18
$5.5296 per On Demand Linux m6a.32xlarge,0.051,0.28
$5.57856 per On Demand Linux r6in.16xlarge,0.045,0.25
$5.672 per On Demand Linux g5.12xlarge,0.036,0.20
$5.6952 per On Demand Linux m6id.24xlarge,0.051,0.29
$5.712 per On Demand Linux m5n.24xlarge,0.034,0.20
$5.712 per On Demand Linux m5n.metal,0.078,0.45
$6.048 per On Demand Linux r5.24xlarge,0.033,0.20
$6.048 per On Demand Linux r6i.24xlarge,0.056,0.34
$6.144 per On Demand Linux m6i.32xlarge,0.041,0.25
$6.25248 per On Demand Linux r6idn.16xlarge,0.048,0.30
$6.288 per On Demand Linux r5ad.24xlarge,0.052,0.33
$6.30864 per On Demand Linux d3en.12xlarge,0.044,0.28
$6.4512 per On Demand Linux c6id.32xlarge,0.036,0.23
$6.528 per On Demand Linux m5dn.24xlarge,0.046,0.30
$6.669 per On Demand Linux x1.16xlarge,0.048,0.32
$6.669 per On Demand Linux x2idn.16xlarge,0.046,0.31
$6.669 per On Demand Linux x2iedn.8xlarge,0.057,0.38
$6.672 per On Demand Linux x1e.8xlarge,0.051,0.34
$6.672 per On Demand Linux x2iezn.8xlarge,0.099,0.66
$6.68304 per On Demand Linux m6in.24xlarge,0.045,0.30
$6.912 per On Demand Linux r5d.24xlarge,0.047,0.32
$7.152 per On Demand Linux r5b.24xlarge,0.044,0.31
$7.152 per On Demand Linux r5b.metal,0.034,0.24
$7.152 per On Demand Linux r5n.24xlarge,0.046,0.33
$7.152 per On Demand Linux r5n.metal,0.073,0.52
$7.2 per On Demand Linux p2.8xlarge,0.599,4.31
$7.2576 per On Demand Linux c6in.32xlarge,0.037,0.27
$7.2576 per On Demand Linux r6a.32xlarge,0.061,0.45
$7.2576 per On Demand Linux r6id.24xlarge,0.053,0.38
$7.344 per On Demand Linux c6a.48xlarge,0.043,0.31
$7.344 per On Demand Linux c6a.metal,0.03,0.22
$7.5936 per On Demand Linux m6id.32xlarge,0.038,0.29
$7.63776 per On Demand Linux m6idn.24xlarge,0.033,0.25
$8.016 per On Demand Linux r5dn.24xlarge,0.042,0.33
$8.064 per On Demand Linux r6i.32xlarge,0.042,0.34
$8.144 per On Demand Linux g5.24xlarge,0.04,0.33
$8.2944 per On Demand Linux m6a.48xlarge,0.044,0.36
$8.36784 per On Demand Linux r6in.24xlarge,0.05,0.42
$8.91072 per On Demand Linux m6in.32xlarge,0.052,0.46
$9.37872 per On Demand Linux r6idn.24xlarge,0.058,0.54
$9.6768 per On Demand Linux r6id.32xlarge,0.042,0.40
